TimeFrame,Fips,Location,Population,Rent,Rent_Burden,Overcrowded,Owner,Employment_Ratio,Unemployment,Median_Income,Uninsured_No,Uninsured_Pct,Education_Level,Education_No,Education_Pct,Snap_No,Snap_Pct
2007,211,Pelham Parkway,126978,1085.36179,0.29099,0.08455,0.30015,0.556,0.08376,52425.16168,,,Bachelor's Degree or Higher,19194,0.23329,7479,0.16525
2007,212,Williamsbridge,148189,1072.00722,0.19468,0.09737,0.37665,0.576,0.08814,54958.02953,,,Bachelor's Degree or Higher,20769,0.224,10807,0.23212
2007,301,Williamsburg/Greenpoint,146456,1070.79317,0.24586,0.08154,0.20527,0.593,0.05147,48287.67119,,,Bachelor's Degree or Higher,30246,0.31544,15355,0.28741
2007,302,Fort Greene/Brooklyn Hts,116753,1222.54957,0.19427,0.04264,0.3315,0.617,0.06561,75732.98534,,,Bachelor's Degree or Higher,43241,0.5276,7031,0.15311
2007,303,Bedford Stuyvesant,125699,887.47144,0.26521,0.07079,0.2135,0.524,0.08849,37076.59737,,,Bachelor's Degree or Higher,14852,0.20224,20863,0.46743
2007,304,Bushwick,129980,965.17072,0.32784,0.156,0.18736,0.554,0.08002,37284.7135,,,Bachelor's Degree or Higher,10127,0.13463,15879,0.38936
2007,305,East New York,158711,1018.58897,0.31305,0.0637,0.23587,0.512,0.06304,38276.81253,,,Bachelor's Degree or Higher,14033,0.14944,22455,0.45945
2007,306,Park Slope,108989,1444.72095,0.16475,0.04311,0.39603,0.672,0.05483,90215.97576,,,Bachelor's Degree or Higher,49656,0.6106,4908,0.10624
2007,307,Sunset Park,146760,1075.64938,0.33113,0.23175,0.27375,0.581,0.05412,45630.64315,,,Bachelor's Degree or Higher,22551,0.23683,9911,0.21397
2007,308,Crown Heights North,129870,946.95995,0.29659,0.06561,0.195,0.548,0.09357,42001.6182,,,Bachelor's Degree or Higher,22018,0.26824,10624,0.2204
2007,309,Crown Heights South,112052,997.9501,0.26974,0.10481,0.169,0.56,0.10517,45988.93398,,,Bachelor's Degree or Higher,15362,0.20754,8391,0.21719
2007,310,Bay Ridge,126730,1153.34865,0.23374,0.07807,0.40418,0.539,0.04748,58211.02648,,,Bachelor's Degree or Higher,28561,0.31185,5483,0.10871
2007,311,Bensonhurst,184258,1074.43533,0.30492,0.10796,0.37469,0.509,0.05266,49065.74171,,,Bachelor's Degree or Higher,29274,0.21992,13596,0.20994
2007,312,Borough Park,176198,1075.64938,0.36076,0.24709,0.32094,0.495,0.06738,44961.36061,,,Bachelor's Degree or Higher,23157,0.24263,13726,0.27832
2007,313,Coney Island,108484,858.33421,0.2373,0.05694,0.22636,0.452,0.06113,36977.26922,,,Bachelor's Degree or Higher,26450,0.32553,15312,0.32509
2007,314,Flatbush/Midwood,160783,1064.72292,0.27664,0.17191,0.22772,0.564,0.04946,48737.01283,,,Bachelor's Degree or Higher,30022,0.30803,13813,0.24988
2007,315,Sheepshead Bay,137489,1061.08076,0.28494,0.10419,0.41927,0.524,0.05592,53561.52303,,,Bachelor's Degree or Higher,35778,0.37456,11703,0.22067
2007,316,Brownsville,120802,739.35719,0.2656,0.08675,0.2081,0.467,0.1157,29911.96323,,,Bachelor's Degree or Higher,7015,0.10771,12834,0.32582
2007,317,East Flatbush,135649,1048.94025,0.26563,0.08776,0.30817,0.604,0.09757,50943.51676,,,Bachelor's Degree or Higher,15324,0.17431,11339,0.24872
2007,318,Canarsie,202387,1214.05121,0.20598,0.05194,0.61572,0.6,0.03999,72205.65349,,,Bachelor's Degree or Higher,39290,0.29592,8913,0.13591
2007,401,Astoria,175303,1165.48917,0.19932,0.08467,0.23204,0.603,0.06392,54928.46758,,,Bachelor's Degree or Higher,42674,0.33007,8989,0.12545
2007,402,Sunnyside/Woodside,139138,1299.0348,0.24129,0.13888,0.25699,0.601,0.05253,62997.69739,,,Bachelor's Degree or Higher,31622,0.29882,4818,0.09725
2007,403,Jackson Heights,182141,1258.97111,0.30387,0.22161,0.41067,0.624,0.05774,57513.36447,,,Bachelor's Degree or Higher,27998,0.21906,9548,0.17343
